name,group,groupStr,s1,s2,s3,s4
DMSS030,2,Old,0.105008109991293,0.0527427726997325,0.024215638274962,-0.168234672442444
DMSS031,2,Old,0.884233842090064,1.12128409832719,0.798239810880723,0.788573899200378
DMSS032,2,Old,-0.19427597597981,-0.962146976151385,-1.17723275027467,-1.52372257586559
DMSS036,2,Old,-0.607951271069976,-0.750292864957848,-1.40074820532792,-1.79427781630613
DMSS037,2,Old,0.0904292158431187,0.418427431772283,0.173555280330787,-0.151565536657853
DMSS038,2,Old,0.066040312943225,0.0696481377229903,0.196968577617142,0.23400985828244
DMSS039,2,Old,-0.111084206913711,-0.205229339453854,-0.210777223905641,-0.346330450782613
DMSS040,2,Old,-0.0073200562501874,0.150684873483051,0.109016255769487,0.315875502973146
DMSS041,2,Old,0.126060572969583,0.392525028373869,0.244466858347205,-8.66878654606723e-05
DMSS046,2,Old,0.0339513621375933,-0.179876037416139,-0.990796536357592,-1.52130181039905
DMSS050,2,Old,0.202328655937177,-0.161377837780355,-0.207616308747626,-0.489543970839859
DMSS051,2,Old,-0.220093974537225,-0.00771157971688243,-0.149141587197273,0.0815767376776444
DMSS052,2,Old,0.0917771558013536,-0.702411840796676,-1.03473048606486,-1.17785011590847
DMSS053,2,Old,0.00137043466359509,-1.00255124701226,-0.988317338115159,-1.23190872794774
DMSS054,2,Old,0.285192727142063,0.356309611506634,0.0354619315832683,-0.329131563429494
DMSS055,2,Old,0.121807945889436,-0.2114225827597,-0.42444963802614,-0.392049563461552
DMSS056,2,Old,0.2653423090147,0.0901418904719592,-0.198607525653559,-0.403594602287139
DMSS057,2,Old,0.328378643711872,0.0621031116870075,-0.166129811288564,-0.148477603547261
DMSS058,2,Old,-0.4298961378533,-0.658065820011825,-0.868518430349808,-0.568653227883394
DMSS059,2,Old,-0.376685111200975,-0.865493815026518,-1.31040448548362,-1.19622387398346
DMSS061,2,Old,-0.154602831619198,-0.208303227511142,-0.387908698603308,-0.48705697837623
dmss01,1,Young,0.496832946602011,0.410784663607682,0.1190530961583,-0.00755329542159606
dmss02,1,Young,0.821480138485761,1.0865946884321,0.343733195186761,0.0246766397159584
dmss03,1,Young,0.284591567075963,-0.198016896918579,0.112065006626543,-0.0882066041526904
dmss06,1,Young,-0.0882444291690985,-0.0753604253258661,-0.0169026861096871,0.00929464705170018
dmss07,1,Young,0.221682507712643,0.0641939130326872,0.0726573088390781,-0.0331271201963018
dmss08,1,Young,-0.23655346309765,-0.234410910728442,-0.4499262162991,-0.57215008169093
dmss11,1,Young,0.158610081920099,-0.33579716716497,-0.390776303132879,-0.336754181843981
dmss13,1,Young,0.125386041774764,-0.332916842668733,-0.651250935982117,-0.695268653655448
dmss14,1,Young,0.135280364170713,0.199090281656785,-0.261616974580412,-0.457056314898123
dmss15,1,Young,0.334520864567099,0.375272976968056,0.453132028777733,0.186977402371729
dmss16,1,Young,0.339109993363833,0.243676742886154,-0.224448369208765,-0.478936491085484
dmss17,1,Young,0.388864695206191,0.52582851027878,0.297213896985,0.255159746600986
dmss19,1,Young,-0.490016737941082,-0.511963077111673,-0.538226075766984,-0.0148458104291053
dmss20,1,Young,-0.0261698716663333,0.0322801412057786,0.0720315778989115,0.0950558958418058
dmss21,1,Young,0.165414932729829,0.130872907141982,0.31856287860758,0.169296523029838
dmss22,1,Young,-0.413467589322329,-0.605294575531077,-0.647783452683017,-0.656816383247555
dmss25,1,Young,0.357290987496411,0.0871869147202105,-0.245100884047802,-0.144439622636103
dmss26,1,Young,0.329816206169738,0.325761999749874,0.287609308342343,-0.0763758455234434
dmss27,1,Young,-0.134433164413992,-0.0716703660805843,-0.259815008062556,-0.223833350576578
dmss29,1,Young,0.0140113593748736,-0.131404000455541,-0.00179137438163311,0.200904648942482
