name,group,groupStr,slope_delay_ss2,slope_delay_ss3
DMSS030,2,Old,0.0473190672005137,-0.0185699249578898
DMSS031,2,Old,-0.269756869460942,-0.0738828689945816
DMSS032,2,Old,-0.478937827399968,-0.244925630804789
DMSS036,2,Old,-0.182723398314714,-0.178722477565419
DMSS037,2,Old,-0.222429833540689,-0.0711924917950789
DMSS038,2,Old,-0.0482638347471207,0.0364095495650108
DMSS039,2,Old,-0.0993827773814812,-0.0231516979714196
DMSS040,2,Old,0.140531305689999,-0.0307005902477262
DMSS041,2,Old,-0.0609449584503717,-0.0600648787369848
DMSS046,2,Old,-0.0840212067486595,-0.410680658093628
DMSS050,2,Old,-0.158922320527665,-0.106066867940126
DMSS051,2,Old,0.114947590888868,0.0463328496139554
DMSS052,2,Old,-0.473819780192317,-0.200996497166012
DMSS053,2,Old,-0.363451951331045,-0.166762997068832
DMSS054,2,Old,0.0111341566536033,-0.120843809463963
DMSS055,2,Old,-0.149226007988096,-0.119935234013173
DMSS056,2,Old,0.0132043580879486,-0.0847612588762227
DMSS057,2,Old,-0.155999972009325,-0.0833413191229269
DMSS058,2,Old,-0.00570436597004695,-0.0260676086836378
DMSS059,2,Old,-0.527525016378904,-0.156185987668392
DMSS061,2,Old,-0.0793593391522911,-0.0252697839722497
dmss01,1,Young,-0.0176262921427325,-0.104918900127995
dmss02,1,Young,-0.26237435442031,-0.175811858404904
dmss03,1,Young,-0.493972877459339,-0.0728574839946157
dmss06,1,Young,0.024085407376257,0.0259454707806423
dmss07,1,Young,0.0451428377069456,-0.0319350763013646
dmss08,1,Young,0.0173362441451878,-0.0770568914967552
dmss11,1,Young,-0.183350263163319,-0.0510617131208819
dmss13,1,Young,-0.0971386395754191,-0.216252343043005
dmss14,1,Young,-0.0611535325323041,-0.162385276488449
dmss15,1,Young,0.150282513854671,-0.0269022335942863
dmss16,1,Young,-0.13707893148546,-0.154453740991786
dmss17,1,Young,0.0900371536450999,-0.063261305437976
dmss19,1,Young,-0.0672110234991777,0.128167905239883
dmss20,1,Young,0.219872344918405,0.006013170128835
dmss21,1,Young,-0.0338129645600504,-0.0156886066438933
dmss22,1,Young,-0.0493805584552012,-0.0382540017252064
dmss25,1,Young,0.00379079652209295,-0.0582493150955717
dmss26,1,Young,-0.423950813573338,-0.06737543813979
dmss27,1,Young,-0.182474397508693,-0.0114990099789333
dmss29,1,Young,-0.0776614254651973,0.0367122162093432
