subname,peakF_1,peakF_2,peakPLV_1,peakPLV_2,avgPLV,peakF2plot
S039,7.5,,0.0490069849947803,,0.0216485924433379,7.5
S041,6,,0.00621698145322737,,-0.0257588597143665,6
S046,9,12,0.0770861767490256,0.0741267231877191,0.0322787618083342,9
S050,4,10.5,0.0637798676440583,0.0914489677323734,0.0531348001584214,4
S057,11.5,,0.0907839875450871,,0.0271477695288869,11.5
S065,6.5,8.5,0.059922406170633,0.0574490984260573,0.038405035520066,6.5
S066,4.5,11.5,0.0102564221981518,-0.0113848634035011,-0.0254154681723231,4.5
S068,4,8,-0.0332546011364715,0.0203480958200216,-0.00682951555570896,4
S070,6.5,,0.043458487993691,,-0.00447892444286888,6.5
S072,6.5,,0.0849872109264082,,0.0383098383882756,6.5
S074,3.5,12,-0.0531394265482184,0.0368445389729612,-0.0620783739466681,3.5
S075,10,,0.014481820718394,,-0.0451392310593224,10
S076,8,10,0.0841742793994422,0.0796210086904004,0.0598196501136365,8
S077,4,11,0.0336216787020103,-0.0383862985508982,-0.0214922193188505,4
S078,5,11.5,0.0253980453046346,0.0546301003682857,0.0172459543916617,5
S079,4.5,8,0.026738565043957,0.0305145782134326,0.0123889136905113,4.5
S084,6,11,0.0440932917462031,0.0438641180831932,0.0243621470174371,6
S085,4,,0.124508792518942,,0.0547547773415371,4
S088,4.5,10,0.0744480890979347,0.0548457246564819,0.0337177724471515,4.5
S092,5.5,10.5,0.0358894741153687,0.00500969171918429,0.0125700056190388,5.5
S101,3,6.5,0.0279395118622001,-0.0217816592433347,-0.0143101134877287,3
S102,4.5,9.5,0.00779333986744645,0.0257404671697531,0.00989311036267516,4.5
